Entry,Entry name,geneid,genename
Q8BZ32,ASXL2_MOUSE,75302;,Asxl2
Q9QZW0,AT11C_MOUSE,320940;,Atp11c
Q5XF89,AT133_MOUSE,224088;,Atp13a3
Q8VDN2,AT1A1_MOUSE,11928;,Atp1a1
P97370,AT1B3_MOUSE,11933;,Atp1b3
O55143,AT2A2_MOUSE,11938;,Atp2a2
G5E829,AT2B1_MOUSE,67972;,Atp2b1
A7L9Z8,AT2C2_MOUSE,69047;,Atp2c2
Q9CQQ7,AT5F1_MOUSE,11950;,Atp5f1
Q9CR84,AT5G1_MOUSE,11951;,Atp5g1
P56384,AT5G3_MOUSE,228033;,Atp5g3
P98199,AT8B2_MOUSE,54667;,Atp8b2
A3FIN4,AT8B5_MOUSE,320571;,Atp8b5
Q8K341,ATAT_MOUSE,73242;,Atat1
Q8BHE3,ATCAY_MOUSE,16467;,Atcay
P81269,ATF1_MOUSE,11908;,Atf1
Q9CWQ3,ATP23_MOUSE,68876;,Atp23
Q9CPQ8,ATP5L_MOUSE,27425;,Atp5l
Q9D3D9,ATPD_MOUSE,66043;,Atp5f1d
Q9D7H4,AVPI1_MOUSE,69534;,Avpi1
P27038,AVR2A_MOUSE,11480;,Acvr2a
P50428,ARSA_MOUSE,11883;,Arsa
P50429,ARSB_MOUSE,11881;,Arsb
Q9D2L1,ARSK_MOUSE,77041;,Arsk
Q9D0U9,ARV1_MOUSE,68865;,Arv1
P50294,ARY1_MOUSE,17960;,Nat1
P50295,ARY2_MOUSE,17961;,Nat2
P50289,ASPX_MOUSE,11451;,Acrv1
Q8VD46,ASZ1_MOUSE,74068;,Asz1
Q8K2X1,AT10D_MOUSE,231287;,Atp10d
P98197,AT11A_MOUSE,50770;,Atp11a
Q5XF90,AT134_MOUSE,224079;,Atp13a4
Q3TYU2,AT135_MOUSE,268878;,Atp13a5
Q6PIE5,AT1A2_MOUSE,98660;,Atp1a2
Q6PIC6,AT1A3_MOUSE,232975;,Atp1a3
P14231,AT1B2_MOUSE,11932;,Atp1b2
P70704,AT8A1_MOUSE,11980;,Atp8a1
P98200,AT8A2_MOUSE,50769;,Atp8a2
Q148W0,AT8B1_MOUSE,54670;,Atp8b1
Q9Z2A5,ATE1_MOUSE,11907;,Ate1
P03930,ATP8_MOUSE,17706;,Mtatp8
Q91YY4,ATPF2_MOUSE,246782;,Atpaf2
Q60765,ATF3_MOUSE,11910;,Atf3
O35451,ATF6B_MOUSE,,Atf6b
